,Player,From / To,Date,Price
155,"Ivan Cavaleiro
M (L), F (C)","Fulham
Lille",10-08-2023,Free
156,"Edson Álvarez
DM, D (C)","Ajax
West Ham United",10-08-2023,€38M
157,"Alex Scott
M, DM, AM (C)","Bristol City
B'mouth",10-08-2023,€23M
158,"Fraser Alexander
DM (CR), M (C)","Ipswich Town
Bishop's Stortford FC",01-07-2023,Free
159,"Ross Barkley
M (C)","Nice
Luton",09-08-2023,Free
160,"Vini Souza
DM, M (C)","Lommel United
Sheff Utd",09-08-2023,€12.5M
161,"Matt Turner
GK","Arsenal
Nottingham",09-08-2023,€8.2M
162,"Sander Berge
M (C)","Sheff Utd
Burnley",09-08-2023,€13.9M
163,"Joel Ideho
F, M (L)","Arsenal
ADO Den Haag",01-07-2023,Free
164,"Michal Karbownik
M (C), D (L)","Brighton
Hertha BSC",08-08-2023,€2.5M
165,"Nikola Vlašić
AM (C)","West Ham United
Torino",08-08-2023,€10.6M
166,"Micky van de Ven
D (CL)","VfL Wolfsburg
Tottenham",08-08-2023,€40M
167,"Alejo Veliz
F (C)","Rosario
Tottenham",08-08-2023,€15M
168,"Tino Livramento
D (R)","Southampton
Newcastle Utd.",08-08-2023,€37.2M
169,"Zach Awe
D (C)","Arsenal
Southampton",01-07-2023,Free
170,"Luka Milivojevic
M, DM (C)","C. Palace
Shabab Al Ahli",01-07-2023,Free
171,"Brooklyn Genesini
D (R)","B'mouth
Swindon Town",07-08-2023,Free
172,"Joe Lumley
GK","Middlesbrough
Southampton",07-08-2023,Free
173,"Ainsley Maitland-Niles
D (R)","Arsenal
Lyon",07-08-2023,Free
174,"Gianluca Scamacca
F (C)","West Ham United
Atalanta",07-08-2023,€25.6M
175,"Henry Lawrence
D, M (R)","Chelsea
Standard",07-08-2023,Free
176,"Robert Sánchez
GK","Brighton
Chelsea",05-08-2023,€23M
177,"Yerry Mina
D (C)","Everton
Fiorentina",05-08-2023,Free
178,"Ashley Phillips
D (CR)","Blackburn
Tottenham",05-08-2023,€2.3M
179,"Matheus França
F (C)","Flamengo
C. Palace",05-08-2023,€20M
