Player,From / To,Date,Price
Cafú,Nottingham / Rotherham,01-07-2023,0.0
Lorent Tolaj,Brighton / Aldershot Town,07-07-2023,0.0
Charlie Wilson,Everton / Norwich,07-07-2023,0.0
Ryan Bartley,C. Palace / Derby,07-07-2023,0.0
Morgan Rogers,Man City / Middlesbrough,07-07-2023,1200000.0
Ellis Simms,Everton / Coventry,07-07-2023,7000000.0
Hayao Kawabe,Wolverhampton / Standard,07-07-2023,1500000.0
Sonny Bradley,Luton / Derby,01-07-2023,0.0
Pontus Jansson,Brentford / Malmo,01-07-2023,0.0
Elijah Gift,Liverpool / Athletic,06-07-2023,800000.0
Freddie Cook,Leicester / Cardiff City,06-07-2023,0.0
Josh McNamara,Man City / Southampton,06-07-2023,0.0
César Azpilicueta,Chelsea / Atlético,06-07-2023,0.0
Granit Xhaka,Arsenal / Bayer 04,06-07-2023,15000000.0
Ayoze Pérez,Leicester / Real Betis,06-07-2023,0.0
Mason Mount,Chelsea / Man Utd,05-07-2023,64200000.0
Çağlar Söyüncü,Leicester / Atlético,05-07-2023,0.0
Enda Stevens,Sheff Utd / Stoke City,05-07-2023,0.0
Derrick Abu,Chelsea / Southampton,01-07-2023,0.0
Maliq Cadogan,C. Palace / Swansea,04-07-2023,0.0
Alex Gilbert,Brentford / Middlesbrough,04-07-2023,0.0
Roberto Firmino,Liverpool / Al Ahli,04-07-2023,0.0
Nathan Collins,Wolverhampton / Brentford,04-07-2023,26900000.0
Richard Keogh,Ipswich Town / Wycombe,01-07-2023,0.0
Bart Verbruggen,Anderlecht / Brighton,03-07-2023,20000000.0
Rico Richards,West Bromwich / Aston Villa,03-07-2023,0.0
Sandro Tonali,Milan / Newcastle Utd.,03-07-2023,64000000.0
Lewis Gibson,Everton / Plymouth,03-07-2023,0.0
Theo Williams,Sheff Utd / Fleetwood,02-07-2023,0.0
Dominik Szoboszlai,RB Leipzig / Liverpool,02-07-2023,70000000.0
Teodor Minchev,Arsenal / Swansea,01-07-2023,0.0
Manni Norkett,Man Utd / Nottingham,01-07-2023,0.0
Isaac Westendorf,Newcastle Utd. / Larne,01-07-2023,0.0
Ronny Nelson,Leicester / Colchester,01-07-2023,0.0
Tarik Gidaree,B'mouth / Harrow Borough FC,01-07-2023,0.0
Osa Solomon,Nottingham / Grantham Town,01-07-2023,0.0
João Pedro,Watford / Brighton,01-07-2023,34200000.0
Mahmoud Dahoud,Dortmund / Brighton,01-07-2023,0.0
James Milner,Liverpool / Brighton,01-07-2023,0.0
Alexis Mac Allister,Brighton / Liverpool,01-07-2023,42000000.0
Haydon Roberts,Brighton / Bristol City,01-07-2023,0.0
Jack Spong,Brighton / Queen's,01-07-2023,0.0
Teddy Jenks,Brighton / Forest,01-07-2023,0.0
Antef Tsoungui,Brighton / Feyenoord,01-07-2023,0.0
Josh Lane,Aston Villa / Robert Morris Colonials (Robert Morris University),01-07-2023,0.0
Matheus Cunha,Atlético / Wolverhampton,01-07-2023,50000000.0
Nahuel Bustos,Man City / Talleres,01-07-2023,0.0
Harry Wright,Everton / Fleetwood,01-07-2023,0.0
Rekeem Harper,Ipswich Town / Burton Albion,01-07-2023,0.0
Finlay Armstrong,Burnley / Fleetwood,01-07-2023,0.0
Harry Winks,Tottenham / Leicester,01-07-2023,11600000.0
Conor Coady,Wolverhampton / Leicester,01-07-2023,8700000.0
Diego Manuel Jadon da Silva Moreira,Benfica / Chelsea,01-07-2023,0.0
Joe Bryan,Fulham / Millwall,01-07-2023,0.0
Ethan Laird,Man Utd / Birmingham City,01-07-2023,900000.0
Nicolas Jackson,Villarreal / Chelsea,01-07-2023,37000000.0
Ruben Loftus-Cheek,Chelsea / Milan,01-07-2023,18500000.0
Ethan Galbraith,Man Utd / Leyton Orient,01-07-2023,0.0
Karl Daley,Leicester / Leighton Town,01-07-2023,0.0
Romaine Mundle,Tottenham / Standard,01-07-2023,0.0
Kai Havertz ,Chelsea / Arsenal,01-07-2023,75000000.0
James Maddison,Leicester / Tottenham,01-07-2023,46300000.0
Edouard Mendy,Chelsea / Al Ahli,01-07-2023,18500000.0
Mislav Orsic,Southampton / Trabzonspor,01-07-2023,2400000.0
Jack Turner,Southampton / Queen's,01-07-2023,0.0
Chiedozie Ogbene,Rotherham / Luton,01-07-2023,0.0
Guglielmo Vicario,Empoli / Tottenham,01-07-2023,18500000.0
Mateo Kovacic,Chelsea / Man City,01-07-2023,29100000.0
Harry Isted,Luton / Charlton Athletic,01-07-2023,0.0
Zidane Iqbal,Man Utd / Utrecht,01-07-2023,1000000.0
Ethan Wady,Chelsea / Millwall,01-07-2023,0.0
Dan Nlundulu,Southampton / Bolton Wanderers,01-07-2023,0.0
İlkay Gündoğan,Man City / Barcelona,01-07-2023,0.0
Kalidou Koulibaly,Chelsea / Al-Hilal,01-07-2023,23000000.0
Lewis Thomas,Burnley / Harrogate,01-07-2023,0.0
Dara O'Shea,West Bromwich / Burnley,01-07-2023,7800000.0
Justin Kluivert,Roma / B'mouth,01-07-2023,10800000.0
Rúben Neves,Wolverhampton / Al-Hilal,01-07-2023,55000000.0
Nathan Baxter,Chelsea / Bolton Wanderers,01-07-2023,0.0
Lukas Jensen,Burnley / Lincoln,01-07-2023,0.0
N'Golo Kanté,Chelsea / Al-Ittihad,01-07-2023,0.0
Christopher Nkunku,RB Leipzig / Chelsea,01-07-2023,60000000.0
Will Tizzard,Southampton / Queen's,01-07-2023,0.0
Matt Smith,Arsenal / Wigan,01-07-2023,0.0
Tom Bloxham,Tottenham / Blackburn,01-07-2023,0.0
Will Norris,Burnley / Portsmouth,01-07-2023,0.0
Charlie Hayes-Green,Liverpool / Bolton Wanderers,01-07-2023,0.0
Daniel Quick,C. Palace / Eastbourne Borough,01-07-2023,0.0
Harry Barclay,Newcastle Utd. / AFC Blyth,01-07-2023,0.0
Dejan Kulusevski,Juventus / Tottenham,01-07-2023,30000000.0
Ziyad Larkeche,Fulham / QPR,01-07-2023,0.0
Will Brook,Leeds United / Nottingham,01-07-2023,0.0
Yankuba Minteh,Odense / Newcastle Utd.,01-07-2023,8000000.0
Kevin Schade,SC Freiburg / Brentford,01-07-2023,25000000.0
Youri Tielemans,Leicester / Aston Villa,01-07-2023,0.0
Isaac Price,Everton / Standard,01-07-2023,0.0
Naby Keïta,Liverpool / Werder,01-07-2023,0.0
Shane Duffy,Fulham / Norwich,01-07-2023,0.0
Terrell Agyemang,Man City / Middlesbrough,01-07-2023,0.0
Michael Agboola,Wolverhampton / Hullbridge Sports FC,01-07-2023,0.0
Jack Scott,Wolverhampton / Linfield,01-07-2023,0.0
Paulo Gazzaniga,Fulham / Girona,01-07-2023,0.0
Jack Butland,C. Palace / Rangers,01-07-2023,0.0
Jefferson Lerma,B'mouth / C. Palace,01-07-2023,0.0
Nicky Hogarth,Nottingham / Falkirk,01-07-2023,0.0
Roco Rees,Brentford / Worthing FC,01-07-2023,0.0
Dujon Sterling,Chelsea / Rangers,01-07-2023,0.0
Josh Neufville,Luton / Wimbledon,01-07-2023,0.0
Josh Williams,Luton / Hemel Hempstead Town,01-07-2023,0.0
Lachlan Brook,Brentford / West Sydney,01-07-2023,0.0
Lewis Salmon,Nottingham / Alfreton Town,01-07-2023,0.0
Joseph Peter McFlynn,Burnley / Hamilton,01-07-2023,0.0
Joel Coleman,Ipswich Town / Bolton Wanderers,01-07-2023,0.0
Niels Nkounkou,Everton / Saint-Etienne,01-07-2023,2000000.0
Jack Stacey,B'mouth / Norwich,01-07-2023,0.0
Mark Flekken,SC Freiburg / Brentford,01-07-2023,13000000.0
Michael Obafemi,Swansea / Burnley,01-07-2023,4000000.0
Ashley Barnes,Burnley / Norwich,01-07-2023,0.0
Chris Wood,Newcastle Utd. / Nottingham,01-07-2023,17000000.0
Jordan Beyer,Gladbach / Burnley,01-07-2023,15000000.0
Alex Matos,Norwich / Chelsea,01-07-2023,0.0
Hamed Junior Traoré,Sassuolo / B'mouth,01-07-2023,25600000.0
Pablo Marí,Arsenal / Monza,01-07-2023,6200000.0
